,Id,Name,Tier,Equippable,Total,Armor_Weight
21,"""6917529535993632257""",Anti-Hero Victory,0,Titan,12,0.0
76,"""6917530031837101987""",Dark Age Chestrig,0,Titan,58,58.0
80,"""6917530029067128402""",Dark Age Mark,0,Titan,0,0.0
223,"""6917529875385499716""",Mark of Agony,0,Titan,0,0.0
269,"""6917530029056819499""",Prodigal Mark,0,Titan,0,0.0
294,"""6917529671158988499""",Resonant Fury Mark,0,Titan,12,0.0
298,"""6917530037173330555""",Scorned Baron Plate,0,Titan,55,55.0
366,"""6917529881218697100""",Tangled Web Mark,0,Titan,0,0.0
412,"""6917529886076739492""",Techeun's Regalia Mark,0,Titan,0,0.0
